epoch,acc,loss,val_acc,val_loss
0,0.901879999961853,0.32095082901000976,0.9614,0.12466220967620611
1,0.97666,0.07444792414397002,0.9828,0.057961573696509006
2,0.98484,0.047981638153493406,0.9866,0.045280692476965485
3,0.98828,0.036286398373246195,0.9874,0.0402276939259842
4,0.99134,0.028335171280503273,0.9886,0.038392474164493616
5,0.9925200000190735,0.023451258140355348,0.9842,0.054384484673303084
6,0.99402,0.019165817146301268,0.9904,0.040324847244961715
7,0.9954600000190735,0.014565819302126765,0.9886,0.04368253524687607
8,0.9959800000190735,0.013131577580999584,0.988,0.04404865827587491
9,0.99646,0.010995978385657072,0.9897,0.04543278763720591
10,0.99724,0.008203078584158793,0.9889,0.0524486574145616
11,0.9978,0.007216990227124188,0.9889,0.0567414820874601
12,0.99774,0.0065579146457300525,0.9873,0.06641947206308978
13,0.99784,0.006256330392921809,0.9902,0.050701104267858316
14,0.99828,0.0052791852244362236,0.9904,0.05198528065619189
15,0.99868,0.004514577843298903,0.9882,0.07829557866502364
16,0.99866,0.004158952286973072,0.9887,0.0578054172256496
17,0.99864,0.0038602949759352486,0.9898,0.05812327879563891
18,0.99914,0.0033367026138096845,0.991,0.0558109558110722
19,0.99906,0.0029159379222824648,0.9905,0.06193563485330105
